Headline,Sentiment,Date
"The late Charlie Munger made a contrarian bet at 99, doubling his money — and clashed with Elon Musk over taking risks",-0.3,2025-02-05
LVMH's Bernard Arnault ousts Larry Ellison as the world's 4th-richest person after gaining $15 billion in one day,0.0,2025-02-05
"DeepSeek unleashes ‘Janus Pro 7B’ vision model amidst AI stock bloodbath, igniting fresh fears of Chinese tech dominance",0.15,2025-02-05
What investors can learn from the DeepSeek tech shock,0.0,2025-02-05
'Oracle of Wall Street' Meredith Whitney shares 3 key economic predictions for 2025 — including a complete reversal of a strongly held stance,0.1833333333333333,2025-02-05
Peter Schiff Warns 'A Financial Tsunami' Will Crash US Markets As Japan's Yields Soar,0.0,2025-02-05
Nvidia stock jumps 4% before CEO Jensen Huang's CES keynote,0.0,2025-02-05
"Top 25 global banks post 27% increase in market cap in 2024, reveals GlobalData",0.25,2025-02-05
"'Big Short' investor Michael Burry kept quiet, piled into China tech, and won big with a stock bet in 2024",0.0,2025-02-05
Investors more 'selective' after DeepSeek sparked tech sell-off,0.5,2025-02-05
DeepSeek Releases Open-Source AI Image Generator as American Stocks Continue to Crater,0.0,2025-02-05
Exxon Mobil Corporation's (NYSE:XOM) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?,0.0611111111111111,2025-02-05
OpenAI's o3-mini is here and available to all users,0.4,2025-02-05
"Who foresaw the DeepSeek-caused sell-off of Magnificent 7 stocks? Hedge funds, which have been cutting exposure for months",0.2,2025-02-05
"Investors worry DeepSeek reduces AI chip demand, but there's a case for remaining bullish on Nvidia",0.0,2025-02-05
"Let's Be Honest, AI at CES 2025 Was All About Nvidia",0.6,2025-02-05
What do surging bond yields mean for your finances?,-0.3125,2025-02-05
JetBlue’s bonds find buyers despite stock slide,0.0,2025-02-05
"Swatch — the parent of Longines, Omega, and Tissot — is seeing sales slump, and it's because of China",0.0,2025-02-05
Jim Cramer Says Lockheed Martin Corporation (LMT): ‘Has Come Down So Much That It’s Getting Hard For Me To Dislike It With James Taiclet At The Top’,0.0631944444444444,2025-02-05
"Ford Plunges 27% in 6 Months: Buy, Sell or Hold the Stock?",0.0,2025-02-05
DeepSeek's ultra-cost-effective AI plummets NVIDIA stock prices — wiping out $500 billion in market valuation,0.0,2025-02-05
"Dividend Investor Earning Over $10,000 a Month Shares Top 6 Stock Picks - 'Money Coming Without Working is Liberating'",0.5,2025-02-05
"Investor Hits $300K Goal With $4.4M Portfolio, Shares His Top 10 Stock Picks – 35 Years Of Investing, Strategy and Big Wins From IMMU",0.2666666666666666,2025-02-05
"DeepSeek is going to be the biggest topic in tech earnings this week, analysts say",0.0,2025-02-05
Why Digital Turbine (APPS) Is Skyrocketing So Far In 2025,0.05,2025-02-05
"I'm a financial writer, but I'm not teaching my teenagers about investing. It's hard to get excited about stocks before you have an income.",0.0277777777777777,2025-02-05
Sam Altman admits OpenAI was ‘on the wrong side of history’ in open source debate,-0.25,2025-02-05
"Loud luxury and logo-mania need a big revival and quiet luxury needs to die if brands want to keep making money, BofA analysts say",0.0333333333333333,2025-02-05
Top White House advisor says DeepSeek may have used OpenAI's models for training,0.25,2025-02-05
Analysts embrace ServiceTitan’s market-share potential in parade of buy ratings,-0.125,2025-02-05
Airbus had a way better 2024 than Boeing after delivering 766 commercial aircraft,0.25,2025-02-05
Intel Shares Surge 7.6% Amid Acquisition Rumors,0.0,2025-02-05
DeepSeek proves AI innovation isn’t ‘dictated’ by Silicon Valley,0.3,2025-02-05
Dividend Investor Retired at 39 Living Off Dividend Income Shares His Top 4 Stocks – 'It's Absolutely Doable',0.35,2025-02-05
Why Tech Stocks Are Dropping Monday,0.0,2025-02-05
Were DeepSeek's Development Costs Much Higher Than Reported?,0.25,2025-02-05
Trump's trade spats are already sending markets on a wild roller coaster ride,0.1,2025-02-05
‘You’ll be free too’: Kevin O’Leary says you’ll be a ‘multimillionaire’ if you can do 1 crucial thing in America,0.2,2025-02-05
"DeepSeek is driving demand for Nvidia's H200 chips, some cloud firms say",0.0,2025-02-05
Gear Up for Advanced Micro (AMD) Q4 Earnings: Wall Street Estimates for Key Metrics,0.2,2025-02-05
"If You Invested $10,000 In Johnson & Johnson Stock 10 Years Ago, How Much Would You Have Now?",0.2,2025-02-05
"This strategist nailed when the Trump bump would end, to the day. Now he says stocks can fall as much as 40%.",0.2,2025-02-05
Save $80 on Premium Bowers & Wilkins Pi8 Wireless Earbuds in 4 Stunning Colors,0.5,2025-02-05
"How Fubo won big in its fight against giants Disney, Fox, and Warner Bros. Discovery",0.0,2025-02-05
It's Wall Street bonus season: Here's when the biggest banks are expected to tell employees how much they made,0.05,2025-02-05
Beyond benchmarks: How DeepSeek-R1 and o1 perform on real-world tasks,0.0,2025-02-05
Is Public Storage (PSA) the Best REIT Stock to Buy Now?,0.5,2025-02-05
Nvidia Stock Price Colossally Crashes After New DeepSeek AI Model Emerges,0.2181818181818181,2025-02-05
Jim Cramer Says NuScale Power Corporation (SMR) and Other Smaller Companies That Offer Alternatives To The Current Nuclear Power Plants ‘Worry Him’,-0.0416666666666666,2025-02-05
DeepSeek is a hot topic on earnings calls this quarter,0.25,2025-02-05
Mark Zuckerberg and Jensen Huang jointly became $28 billion richer in 3 days as AI buzz reignites,0.0,2025-02-05
UPS plunged after saying it'll deliver fewer Amazon packages. Its CEO says it's about 'taking control of our destiny.',0.0,2025-02-05
Wall Street trader rates 12 banking and trading scenes in movies and TV,0.0,2025-02-05
How devastating will the LA wildfires be? Place your bets.,-1.0,2025-02-05
"Merck & Co., Inc. (MRK): Is This Healthcare Stock A Good Buy?",0.7,2025-02-05
3 Dividend Stocks To Enhance Your Portfolio,0.0,2025-02-05
DeepSeek already had a $1 trillion impact — and it's just getting started,0.0,2025-02-05
Is Now The Time To Look At Buying Air New Zealand Limited (NZSE:AIR)?,0.0324675324675324,2025-02-05
The Trump stock market rally is fading fast,0.2,2025-02-05
"5 popular sneakers you should invest in and 2 that feel like a passing trend, according to sneakerheads",0.6,2025-02-05
Shein backlash fails to deter shoppers: 'I spend £20 a month',-0.5,2025-02-05
"Forget Prismatic Evolutions, I'm Buying These UK Silver Tempest Deals",0.0,2025-02-05
Microsoft CFO tells employees in an internal memo to 'focus' amid AI news like DeepSeek and Stargate,0.0,2025-02-05
"Nvidia, Microsoft shares tumble amid rise of China-based AI DeepSeek",0.0,2025-02-05
